MSA,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Fayetteville--Springdale--Rogers, AR MSA",311121,326329.3,341537.6,356745.9,371954.2,387162.5,402370.8,417579.1,432787.4,447995.7,463204,173.3,170.61,167.92,165.23,162.54,159.85,157.16,154.47,151.78,149.09,146.4
"Fitchburg--Leominster, MA PMSA",142284,128055.6,113827.2,99598.8,85370.4,71142,56913.6,42685.2,28456.8,14228.4,,510.8,459.72,408.64,357.56,306.48,255.4,204.32,153.24,102.16,51.08,
"Flagstaff, AZ--UT MSA",122366,123571.5,124777,125982.5,127188,128393.5,129599,130804.5,132010,133215.5,134421,5.4,5.58,5.76,5.94,6.12,6.3,6.48,6.66,6.84,7.02,7.2
"Flint, MI PMSA",436141,435105.9,434070.8,433035.7,432000.6,430965.5,429930.4,428895.3,427860.2,426825.1,425790,681.9,680.56,679.22,677.88,676.54,675.2,673.86,672.52,671.18,669.84,668.5
"Florence, AL MSA",142950,143368.7,143787.4,144206.1,144624.8,145043.5,145462.2,145880.9,146299.6,146718.3,147137,113.1,113.46,113.82,114.18,114.54,114.9,115.26,115.62,115.98,116.34,116.7
"Florence, SC MSA",125761,133741.5,141722,149702.5,157683,165663.5,173644,181624.5,189605,197585.5,205566,157.2,156.58,155.96,155.34,154.72,154.1,153.48,152.86,152.24,151.62,151
"Fort Collins--Loveland, CO MSA",251494,256307.6,261121.2,265934.8,270748.4,275562,280375.6,285189.2,290002.8,294816.4,299630,96.7,98.57,100.44,102.31,104.18,106.05,107.92,109.79,111.66,113.53,115.4
"Fort Lauderdale, FL PMSA",1623018,1460716.2,1298414.4,1136112.6,973810.8,811509,649207.2,486905.4,324603.6,162301.8,,1346.5,1211.85,1077.2,942.55,807.9,673.25,538.6,403.95,269.3,134.65,
"Fort Myers--Cape Coral, FL MSA",440888,396799.2,352710.4,308621.6,264532.8,220444,176355.2,132266.4,88177.6,44088.8,,548.6,493.74,438.88,384.02,329.16,274.3,219.44,164.58,109.72,54.86,
"Fort Pierce--Port St. Lucie, FL MSA",319426,287483.4,255540.8,223598.2,191655.6,159713,127770.4,95827.8,63885.2,31942.6,,283.2,254.88,226.56,198.24,169.92,141.6,113.28,84.96,56.64,28.32,
"Fort Smith, AR--OK MSA",207290,216420.2,225550.4,234680.6,243810.8,252941,262071.2,271201.4,280331.6,289461.8,298592,114.8,110.79,106.78,102.77,98.76,94.75,90.74,86.73,82.72,78.71,74.7
"Fort Walton Beach, FL MSA",170498,153448.2,136398.4,119348.6,102298.8,85249,68199.2,51149.4,34099.6,17049.8,,182.2,163.98,145.76,127.54,109.32,91.1,72.88,54.66,36.44,18.22,
"Fort Wayne, IN MSA",502141,493552.6,484964.2,476375.8,467787.4,459199,450610.6,442022.2,433433.8,424845.4,416257,205.2,215.27,225.34,235.41,245.48,255.55,265.62,275.69,285.76,295.83,305.9
"Fort Worth--Arlington, TX PMSA",1702625,1532362.5,1362100,1191837.5,1021575,851312.5,681050,510787.5,340525,170262.5,,583.5,525.15,466.8,408.45,350.1,291.75,233.4,175.05,116.7,58.35,
"Fresno, CA MSA",922516,923309.4,924102.8,924896.2,925689.6,926483,927276.4,928069.8,928863.2,929656.6,930450,113.9,118.13,122.36,126.59,130.82,135.05,139.28,143.51,147.74,151.97,156.2
"Gadsden, AL MSA",103459,103556.1,103653.2,103750.3,103847.4,103944.5,104041.6,104138.7,104235.8,104332.9,104430,193.4,193.58,193.76,193.94,194.12,194.3,194.48,194.66,194.84,195.02,195.2
"Gainesville, FL MSA",217955,222587,227219,231851,236483,241115,245747,250379,255011,259643,264275,249.3,245.95,242.6,239.25,235.9,232.55,229.2,225.85,222.5,219.15,215.8
"Galveston--Texas City, TX PMSA",250158,225142.2,200126.4,175110.6,150094.8,125079,100063.2,75047.4,50031.6,25015.8,,627.8,565.02,502.24,439.46,376.68,313.9,251.12,188.34,125.56,62.78,
"Gary, IN PMSA",631362,568225.8,505089.6,441953.4,378817.2,315681,252544.8,189408.6,126272.4,63136.2,,689.9,620.91,551.92,482.93,413.94,344.95,275.96,206.97,137.98,68.99,
