Target Geo Id 2000,Target Geo Id2 2000,Geographical Area_x,MSA,Population 2000,Housing  units 2000,Area in square miles - Total area 2000,Area in square miles - Water area 2000,Area in square miles - Land area 2000,Density per square mile of land area - Population 2000,Density per square mile of land area - Housing  units 2000,Target Geo Id 2010,Target Geo Id2 2010,Geographical Area_y,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
3800000US3760,3760.0,"United States - In metropolitan statistical area - Kansas City, MO-KS MSA","Kansas City, MO-KS MSA",1776062.0,740884.0,5485.39,79.18,5406.21,328.5,137.0,310M100US28140,28140.0,"United States - In metropolitan statistical area - Kansas City, MO-KS MSA",2035334.0,883099.0,7950.44,123.09,7827.34,260.0,112.8
3800000US3810,3810.0,"United States - In metropolitan statistical area - Killeen-Temple, TX MSA","Killeen-Temple, TX MSA",312952.0,114558.0,2144.66,33.18,2111.48,148.2,54.3,,,,,,,,,,
3800000US3840,3840.0,"United States - In metropolitan statistical area - Knoxville, TN MSA","Knoxville, TN MSA",687249.0,313394.0,2529.42,80.16,2449.26,280.6,128.0,310M100US28940,28940.0,"United States - In metropolitan statistical area - Knoxville, TN MSA",698030.0,315615.0,1931.72,74.87,1856.85,375.9,170.0
3800000US3850,3850.0,"United States - In metropolitan statistical area - Kokomo, IN MSA","Kokomo, IN MSA",101541.0,44452.0,554.34,0.88,553.45,183.5,80.3,310M100US29020,29020.0,"United States - In metropolitan statistical area - Kokomo, IN MSA",98688.0,45677.0,554.49,0.89,553.6,178.3,82.5
3800000US3870,3870.0,"United States - In metropolitan statistical area - La Crosse, WI-MN MSA","La Crosse, WI-MN MSA",126838.0,51647.0,1048.82,37.67,1011.15,125.4,51.1,310M100US29100,29100.0,"United States - In metropolitan statistical area - La Crosse, WI-MN MSA",133665.0,57003.0,1048.76,45.02,1003.74,133.2,56.8
3800000US3880,3880.0,"United States - In metropolitan statistical area - Lafayette, LA MSA","Lafayette, LA MSA",385647.0,157792.0,2683.19,89.57,2593.62,148.7,60.8,310M100US29180,29180.0,"United States - In metropolitan statistical area - Lafayette, LA MSA",273738.0,115597.0,1085.7,79.33,1006.37,272.0,114.9
3800000US3920,3920.0,"United States - In metropolitan statistical area - Lafayette, IN MSA","Lafayette, IN MSA",182821.0,71610.0,908.35,3.46,904.89,202.0,79.1,310M100US29140,29140.0,"United States - In metropolitan statistical area - Lafayette, IN MSA",201789.0,84505.0,1284.77,6.32,1278.45,157.8,66.1
3800000US3960,3960.0,"United States - In metropolitan statistical area - Lake Charles, LA MSA","Lake Charles, LA MSA",183577.0,75995.0,1094.34,23.22,1071.12,171.4,70.9,310M100US29340,29340.0,"United States - In metropolitan statistical area - Lake Charles, LA MSA",199607.0,85651.0,3030.94,682.4,2348.55,85.0,36.5
3800000US3980,3980.0,"United States - In metropolitan statistical area - Lakeland-Winter Haven, FL MSA","Lakeland-Winter Haven, FL MSA",483924.0,226376.0,2009.99,135.6,1874.38,258.2,120.8,310M100US29460,29460.0,"United States - In metropolitan statistical area - Lakeland-Winter Haven, FL MSA",602095.0,281214.0,2010.55,212.71,1797.84,334.9,156.4
3800000US4000,4000.0,"United States - In metropolitan statistical area - Lancaster, PA MSA","Lancaster, PA MSA",470658.0,179990.0,983.81,34.75,949.06,495.9,189.7,310M100US29540,29540.0,"United States - In metropolitan statistical area - Lancaster, PA MSA",519445.0,202952.0,983.8,39.99,943.81,550.4,215.0
